tweet_text,geo_latitude,geo_longitude,hotspot_id
montaña rusa jajaj 😲 @ beto carrero word https://t.co/umy1zfvswc,-26.98597441,-48.63656063,1
"#nevadodecachi #cachi #salta #montaña #vallescalchaquies #sinfiltro #notfilter en cachí, salta,… https://t.co/vnaznpsacx",-25.1,-66.1833,2
"si al franquear una montaña en la dirección de una estrella, el viajero se deja absorber… https://t.co/tni16oslxw",10.65,-61.5167,3
"#volcan #llaima #volcano  #chile🇨🇱 @ los paraguas, esquí y montaña https://t.co/yfxwoajkox",-38.70157084,-71.80434465,4
en lo alto de la montaña #monserrate #bogota #colombia #montaña #mountain #view #instaview… https://t.co/bhozndufsn,5.82,-74.0217,5
en la cima del mundo ☆.☆ @ montaña wuaynapichu https://t.co/mhogsprx6c,-13.15663267,-72.5457716,6
la belleza total. una cosa de no creerse estar acá. (@ cima montaña machu picchu) https://t.co/wrwqr1uv3x https://t.co/c3e0wevhqf,-13.17456937,-72.54188875,6
"🌟 con un rico clima de montaña, te recibe la puerta de los andes venezolanos, rodeada páramos,… https://t.co/3p6jjhkjjw",9.181501,-70.679769,7
"🌟 con un rico clima de montaña, te recibe la puerta de los andes venezolanos, rodeada páramos,… https://t.co/q4m1tsk8ly",9.130895,-70.706717,7
"copa mx monarcas vs cruz azul ⚽️⚽️ semifinal (@ fox sports in jardines de la montaña, distrito federal) https://t.co/i7xbopj5nx",19.30398448,-99.20088687,8
"sin entrevistas, por favor. (@ fox sports in jardines de la montaña, distrito federal) https://t.co/5wrkx2vhqy",19.30398448,-99.20088687,8
"ya es viernes (@ fox sports in jardines de la montaña, distrito federal w/ @gilbertohdz90) https://t.co/78vud2jku6",19.30398448,-99.20088687,8
y rodeando la montaña 🎶 y rodeando la montaña 🎶 #mountainbike en parque ejidal san nicolas… https://t.co/sjmkiyum6s,19.25447295,-99.24508095,8
"león vs cruz azul #ligamx (@ fox sports in jardines de la montaña, distrito federal) https://t.co/qmpmz7h7pl",19.30398448,-99.20088687,8
"después de un excelente viaje, de regreso al trabajo 🖥 (@ anfitriones nacionales in jardines en la montaña) https://t.co/q0y6yxdume",19.30382245,-99.20223365,8
"la montaña es la que te invita y te da el paso, tu te dejas llevar, sin expectativas.  . #selfie… https://t.co/byxyqf24qf",19.1238003,-98.7666702,8
acaba de publicar una foto @ corralco resort de montaña https://t.co/t9jshlzyy5,-38.4187075,-71.54692392,9
montaña de colores en el #desiertodesiloli #bolivia #uyuni 🇧🇴 @ desierto de siloli https://t.co/tejluyqqba,-19.58816,-65.74545,10
